,Speed,SpeedRank,Movie,City,Population,dSdt,sEdt,dIdt,dRdt
1392,Slow* ,2,The Walking Dead ,New_York,8398748,2.5861510657335893e-14,1.4824822566155404e-17,3950551.4500000095,39904.55000000005
1393,Slow* ,2,The Walking Dead ,New_York,8398748,2.5719168284632196e-14,1.4743225856260745e-17,3950551.4500000095,39904.55000000005
1394,Slow* ,2,The Walking Dead ,New_York,8398748,2.5576825911928502e-14,1.4661629146366086e-17,3950551.4500000095,39904.55000000005
1395,Slow* ,2,The Walking Dead ,New_York,8398748,2.5434483539224805e-14,1.4580032436471427e-17,3950551.4500000095,39904.55000000005
1396,Slow* ,2,The Walking Dead ,New_York,8398748,2.5292141166521107e-14,1.4498435726576768e-17,3950551.4500000095,39904.55000000005
1397,Slow* ,2,The Walking Dead ,New_York,8398748,2.5149798793817413e-14,1.441683901668211e-17,3950551.4500000095,39904.55000000005
1398,Slow* ,2,The Walking Dead ,New_York,8398748,2.5007456421113716e-14,1.433524230678745e-17,3950551.4500000095,39904.55000000005
1399,Slow* ,2,The Walking Dead ,New_York,8398748,2.486511404841002e-14,1.4253645596892788e-17,3950551.4500000095,39904.55000000005
1400,Slow* ,2,The Walking Dead ,New_York,8398748,498043.0,1.0,0.0,0.0
1401,Slow* ,2,The Walking Dead ,New_York,8398748,497901.9380302288,0.08127870463687435,140.57007136900015,1.4106196977135055
1402,Slow* ,2,The Walking Dead ,New_York,8398748,478810.71111796406,10.582067640092925,19030.383925575854,192.3228888203632
1403,Slow* ,2,The Walking Dead ,New_York,8398748,74773.41812809093,36.418780165258525,419001.4672730251,4232.695818719093
1404,Slow* ,2,The Walking Dead ,New_York,8398748,622.4961966742942,0.35639611374050373,492446.94236917887,4974.205038033259
1405,Slow* ,2,The Walking Dead ,New_York,8398748,4.4148806595479275,0.002530786232070508,493059.196737361,4980.3858511934095
